NSDeviceCMYKColor,NSColor
CAMLParser,NSObject
NSPopoverAnimationController,NSObject
NSToolbarServicesItem,NSToolbarItem
_NSCarbonMenuWindowTrackingAreaReference,NSObject
CUIStructuredThemeStore,NSObject
CIMinimumCompositing,_CICompositeFilter
NSTextViewCompletionController,NSObject
PAMemAllocation,PAMemRange
_NSStringProxyForContext,NSString
NSAnimationContext,NSObject
CWANQPVenueNameEntry,NSObject
NSSavePanelNameFieldCell,NSTextFieldCell
NSURLConnectionDelegateProxy,NSObject
MTLRenderPipelineColorAttachmentDescriptorInternal,MTLRenderPipelineColorAttachmentDescriptor
NSPersistentUIBucket,NSObject
NSFormCell,NSActionCell
VMUObjectGraph,VMUDirectedGraph
OS_xpc_object,OS_object
ISIconCache,NSObject
NSSpeechRecognizer,NSObject
NSTableHeaderView,NSView
CIGaussianGradient,CIFilter
PFUbiquityLocation,NSObject
NSCarbonMenuWindow,NSCarbonWindow
NSCFType,NSObject
_NSAlertContentView,NSView
CoreWiFiOverlappingBSSIE,CoreWiFiIE
NSTextFinderAsyncSearch,NSObject
DDVariableNotFoundError,DDErrorRegexp
NSDesktopImageView,NSView
NSTextAttachment,NSObject
NSSQLEntity,NSStoreMapping
NSExpression,NSObject
CTGlyphStorageInterface,NSObject
_NSValueBinderPlugin,_NSBinderPlugin
FCRFace,NSObject
NSWindowScaleAnimation,NSAnimation
NSToolbarSidebarItem,NSToolbarItem
NSMagnifierWindowContentViewLoupe,NSView
NSPageLayout,NSObject
CIHardLightBlendMode,CIBlendModeFilter
NSCatalogColor,NSColor
NSTextTab,NSObject
NSAtomicStore,NSPersistentStore
MTLRenderPipelineColorAttachmentDescriptor,NSObject
NSAnimationInfo,NSObject
NSFileVersion,NSObject
NSLookupMatch,NSObject
CUIInnerGlowOrShadowFilter,CIFilter
CUISystemCatalog,CUICatalog
NSURLConnectionHandle,NSURLHandle
NSXMLFidelityElement,NSXMLElement
NSCTFontCollection,NSMutableFontCollection
NSNavScopeView,NSView
CUICatalog,NSObject
CIExclusionBlendMode,CIBlendModeFilter
_NSScrollingConcurrentSwipeVBLPreprocessFilter,_NSScrollingConcurrentEventVBLPreprocessFilter
AUAudioUnitPreset,NSObject
DDConcatenationRegexp,DDOperatorRegexp
_NSToolbarImageRepView,NSView
BU_TKeyValueObserverBridge,NSObject
PFUbiquityTransactionLogMigrator,NSObject
SFRemoteHotspotInfo,NSObject
NSReduceObservationTransformer,NSObservationTransformer
NSOpenGLLayer,CAOpenGLLayer
NSMetalPatternColor,NSPatternColor
NSSpeechRecognizerVars,NSObject
NSIndexSpecifier,NSScriptObjectSpecifier
NSSQLTernaryExpressionIntermediate,NSSQLExpressionIntermediate
NSUbiquitousKeyValueStore,NSObject
_AWDMetricsReporter,NSObject
CUISystemStore,CUIStructuredThemeStore
NSFontDescriptor,NSObject
NSEntityStoreMapping,NSStoreMapping
CIMultiplyCompositing,_CICompositeFilter
NSTextViewCompletionTableView,NSTableView
NSFTPURLHandle,NSURLHandle
CILightTunnel,CIFilter
PAWSUpdateDataStore,NSObject
PFUbiquityRecordsImporterSchedulingContext,NSObject
NSToolbarBaselineView,NSView
_NSTiledLayerVisibleRectObserver,NSObject
NSHTTPCookieStorageInternal,NSObject
_NSScrollingConcurrentRubberbandSnapAnimation,_NSScrollingConcurrentVBLPreprocessFilter
_NSAppCentricAccessoryViewSeparatorBox,NSBox
LKNSArrayCodingProxy,CACodingProxy
NSDockMiniViewController,NSObject
NSPDFInfo,NSObject
_NSXPCConnectionExpectedReplies,NSObject
CUINamedLookup,NSObject
NSParagraphStyle,NSObject
NSTableRow,NSObject
MTLIOAccelBuffer,MTLIOAccelResource
NSCachedFetchRequestThunk,NSObject
NSJSONSerialization,NSObject
NSKeyPathExpression,NSFunctionExpression
__NSArrayReverseEnumerator,NSEnumerator
PAGraphicsInfoCollector,NSObject
NSMenuItemViewer,NSVisualEffectView
NSURLCredential,NSObject
NSTargetAnimationInfo,NSObject
NSScriptEnumeratorDescription,NSObject
NSRemoteServiceMessage,NSObject
NSTableAssociation,NSObject
DDDisjunctionRegexp,DDOperatorRegexp
MTLRenderPipelineReflectionInternal,MTLRenderPipelineReflection
NSDownloadController,NSObject
CASpring,NSObject
CICircleGenerator,CIFilter
NSTabViewController,NSViewController
_NSSavePanelTagEditorContainer,NSView
BU_TMControl,CALayer
NSMutableFontCollection,NSFontCollection
_NSSQLEntityMigrationDescription,NSObject
NSKeyValueUnnestedProperty,NSKeyValueProperty
PAMemorySimpleGraphicsSummary,NSObject
_NSCheckBoxPlugin,_NSValueBinderPlugin
NSWindowBackdrop,NSObject
NSURLHostNameAddressInfo,NSObject
NSXMLNode,NSObject
_NSStdIOFileHandle,NSConcreteFileHandle
_CFXNotificationDarwinTokenQueueRegistration,_CFXNotificationDarwinTokenRegistration
